,Substrate SMILES,Alkene SMILES,Acid SMILES,Temp /C,ee
55,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)N2C(C(O)=O)N(C(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,23
56,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(CCCCC)N1C(C(O)=O)N(C(CCCCC)=O)[C@@H](C2=CC=CC=C2)[C@@H]1C3=CC=CC=C3,25,20
57,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=CC=C1C)N2C(C(O)=O)N(C(C3=C(C)C=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,20
58,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4OC)[C@@H]2C5=C(OC)C=CC=C5,25,18
59,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,50,34
new,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,87
new,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=C(F)C=C1)N2C(C(O)=O)N(C(C3=CC=C(F)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,84
new,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=C(C)C=C1)N2C(C(O)=O)N(C(C3=CC=C(C)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,86
new,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=C(C(C)C)C=C1)N2C(C(O)=O)N(C(C3=CC=C(C(C)C)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,86
new,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=C(C(C)(C)C)C=C1)N2C(C(O)=O)N(C(C3=CC=C(C(C)(C)C)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,85
new,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=CC(C(F)(F)F)=C1)N2C(C(O)=O)N(C(C3=CC(C(F)(F)F)=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,83
new,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=CC(C)=C1)N2C(C(O)=O)N(C(C3=CC(C)=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,74
new,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=CC2=C1C=CC=C2)N3C(C(O)=O)N(C(C4=C(C=CC=C5)C5=CC=C4)=O)[C@@H](C6=CC=CC=C6)[C@@H]3C7=CC=CC=C7,25,68
new,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC5=C(C=CC=C5)C=C4)[C@@H]2C6=CC7=C(C=CC=C7)C=C6,25,71
new,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,O=C(C1=CC=CC(C)=C1)N2C(C(O)=O)N(C(C3=CC(C)=CC=C3)=O)[C@@H](C4=CC=C(C=CC=C5)C5=C4)[C@@H]2C6=CC(C=CC=C7)=C7C=C6,25,68
0,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=C(C(F)(F)F)OC=C2)=O)C(C(O)=O)N1C(C1=C(C(F)(F)F)OC=C1)=O,25,
1,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]%45[C@H](C8=CC=CC=C8)N(C(C%46=CC=C(C(C)(C)C)C=C%46)=O)C(C(O)=O)N%45C(C%47=CC=C(C(C)(C)C)C=C%47)=O,25,
2,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=CC=CO2)=O)C(C(O)=O)N1C(C1=CC=CO1)=O,25,
3,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=CC=C(F)C=C2)=O)C(C(O)=O)N1C(C3=CC=C(F)C=C3)=O,25,
